NOM;MOL_ID;CI;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m
Abacavir ;C14H18ON6;0.47;286.38;7.34;24.06;39.24;25.06;46.17;0.62;1.01;0.64;2.2;39;21;42;24;8;29;0.25;4;5;4;95;2;0;6;18;14;6;1;0;0;0;0;0;0;0;0;1;0;2;1;0;0;1;0;0;0;0;118;275;143;298;20;16414;2066;2185;247;46;8;31;93.23;86667;241;4130;6453;4403;10414;20481;8004;910;4333;39854;72822;682152;79119;2827;6075;3023;47147;1939;11560;14117;102293;9425;733881;733951;1022.486;736258;1099.838;1433;1798;1798;1287;1792;1196;1409;3257;20377;28233;90239;13044;4967;2494;3085;924;588;0.33;185;0.1;833;393;176;8381;1351;15778;61;539;69;6;741;2529;32082;0;89386;50631;0;0;76662;0;0;0;34;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;4779;5659;6567;7466;8379;9285;10.2;11.11;12027;120472;21;48;6;188;60;876;434;4444;2886;23698;24;35;46;64;79;95;105;120;122;111;3401;3942;4469;5057;5526;5881;6175;6513;6.64;6754;89553;123595;1.38;34042;43204;21304;14397;10242;9432;7727;6711;5215;686;427;269;168;105;66;11659;7388;5.93;3943;2841;1803;555;308;169;86;44;23;14397;10242;9432;7727;6711;5215;64661;3415;171862;3308;3615;3586;3623;3468;3332
Acipimox;C6H5O3N2;0.25;153.13;9.57;10.42;17.01;10.52;37;0.65;1.06;0.66;3.36;16;11;16;11;8;16;545;1;1;1;63;2;0;6;5;6;2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;52;238;58;196;7;6474;1.61;1801;393;26;4;14;36316;27636;294;619;1588;521;2922;10871;6683;152;2764;17061;26.5;120;0;1696;1792;337;19562;258;816;9269;35705;399;101607;101625;153011;101882;166472;2396;3602;3602;2456;3592;2267;3116;3.73;20926;20291;36054;7637;2644;1509;1835;782;591;332;135;78;1;99;52;4727;843;4.81;21;73;14;18;1.16;1868;0;0;0;34381;0;0;0;0;0;0;3;18;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3.97;4762;5595;6415;7246;8073;8904;9732;10562;87.26;11;22;0;82;0;364;0;1746;0;8702;11;15;17;17;20;15;7;0;0;0;2833;3.45;3937;4336;4849;4808;4523;0;0;0;29935;39735;1327;9801;21235;11461;8431;5109;4772;3582;2195;1744;766;464;318;211;129;87;5744;2867;2013;1179;568;361;522;261;134;69;33;18;8431;5109;4772;3582;2195;1744;33.5;2168;56294;2631;2.95;2916;2456;2106;1299
Acyclovir ;C8H11O3N5;0.17;225.24;8.34;16.3;28.14;16.68;44.17;0.6;1.04;0.62;2.76;27;16;28;17;4;21;0;2;3;4;143;4;0;0;11;8;5;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;80;273;93;249;11;11038;1846;1993;301;37.5;5;22;64183;56625;0.28;1899;3843;1806;6981;16105;8087;453;3775;27458;46951;362345;19.08;2927;3367;1352;32067;936;4665;11916;63227;2325;355839;355939;622556;357412;686224;1869;2384;2383;1391;2373;1264;2146;4375;23213;23814;64;11069;4609;2.24;3189;831;564;326;183;99;0.8;239;116;7.25;1156;10656;40;266;51;14;1703;2281;0;0;31319;37716;0;0;58373;0;0;0;19;72;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;4394;5231;6107;6974;7864;8744;9639;10525;11422;103.9;16;34;0;126;10;562;112;2782;936;14654;17;23;30;40;46;48;45;44;32;20;3091;3555;4043;4554;4804;5063;5.05;5176;4927;4533;58512;75477;1.29;16965;32178;16.34;11544;7.72;6715;5384;4643;3369;721;454;292;179;116;73;8434;4708;3.21;2078;1.4;842;527;277;0.14;69;35;18;11544;7.72;6715;5384;4643;3369;50736;2823;104573;3044;3358;3334;3225;2818;2.63
Alanine_L;C3H7O2N;0.30000001;89.11;6.85;6.81;13.41;7.2;22;0.52;1.03;0.55;3.67;13;6;12;5;1;6;0;0;0;1;83;1;0;0;7;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;112;21;70;2;2197;1286;1442;675;14.5;2;4;13483;9667;0.38;108;326;61;328;5395;3786;29;1933;6944;9333;29;-4593;1521;0;47;7667;29;47;7667;15;29;23911;23916;35849;23961;38502;2993;3579;3578;2471;3572;2315;2769;2525;10454;8781;13.51;5442;1777;2442;1611;1102;578;267;0;0;0.5;24;16;2667;444;1778;7;16;4;20;918;918;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3135;3761;4466;5142;5838;6526;7.22;7912;8606;63607;6;10;0;34;0;130;0;514;0;2050;5;6;4;0;0;0;0;0;0;0;1946;2197;1946;0;0;0;0;0;0;0;11347;12089;1065;742;10524;6697;5155;2643;2488;1333;0;0;859;529;415;333;0;0;3864;1836;1459;454;0;0;644;367;243;113;0;0;5155;2643;2488;1333;0;0;17.3;1475;17064;1921;2172;1913;0;0;0
Alfentanil;C21H33O3N6;0.75;417.6;6.63;36.57;63.02;38.68;66.92;0.58;1;0.61;2.23;63;30;65;32;9;38;188;3;3;9;138;3;0;6;33;21;6;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;152;390;180;387;19;20.86;1865;2004;219;66;9;49;153983;173267;234;10854;17414;10985;27699;28272;16278;2599;5975;56773;117932;2123;119.01;4507;5193;11658;68814;3583;20211;36.43;320.18;11757;2243.132;2243.379;3226.808;2250.504;3497.145;1594;1834;1834;1288;1828;1191;1827;5.96;30108;72899;137207;22667;10338;5018;7811;1024;567;356;201;106;875;739;354;11.8;1.72;30551;121;1568;142;39;1187;2844;0;0;103071;227.07;0;0;0;0;0;0;54;112;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;5.03;5889;6777;7658;8556;9445;10347;11239;12143;139082;30;64;0;240;10;1108;112;5632;882;30214;32;44;60;77;89;89;94;98;96;102;3664;4086;4519;4935;5227;5209;5405;5564;5.46;5493;104537;125568;1201;21.03;60522;30201;21562;14541;12307;10836;8876;6.72;719;454;0.28;181;115;76;18289;10.92;8108;6236;4572;3433;0.61;341;184;104;59;39;21562;14541;12307;10836;8876;6.72;92757;3982;262706;3613;3.93;4032;4044;4045;3899
Aminohippuric_acid_PAH  ;C9H9O3N2;0.47;193.2;8.4;14.62;23.78;15.04;43.67;0.64;1.03;0.65;3.12;23;14;23;14;8;19;429;1;1;3;0.13;2;0;6;9;9;2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;64;250;69;202;7;8553;1.68;1842;342;32;4;16;54022;48429;317;1354;3050;1216;5663;14474;8469;339;3725;21912;36488;293667;0;3.28;1792;1004;25371;471;1742;15588;69865;735;265.5;265529;353829;266071;376006;2199;2.79;2.79;2154;2785;2036;2992;4217;23435;30302;47303;10.38;4511;3296;3345;839;571;289;128;0.08;0.8;189;98;7;1143;8408;35;188;30;21;1876;2271;0;0;0;49065;0;0;0;0;0;0;6;30;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4174;4934;5746;6535;7349;8149;8965;9.77;10587;94211;14;28;0;100;0;418;0;1876;0;8768;14;18;19;20;24;20;14;10;10;4;2996;3481;3834;4.21;4703;4627;4427;3976;4202;3841;41069;54298;1322;13229;27217;14324;10552;6592;5968;4065;2687;2221;754;471;332;214;134;93;7288;3914;2.66;1561;886;567;521;0.28;148;82;44;24;10552;6592;5968;4065;2687;2221;42028;2591;76521;2803;3091;2984;2719;2.7;2505
Amprenavir;C25H35SO6N3;0.38;505.7;7.22;41.71;70.48;44.57;86.42;0.6;1.01;0.64;2.47;70;35;72;37;15;46;324;3;3;12;167;3;0;12;35;25;3;6;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;176;462444;200;362;21;23.75;1818;1971;205;77.5;11;50;187725;217886;209;15904;25690.778;16192;41535;31953;20488;3813;6408;66.26;145856;3503.333;169097;4841;5193;17351;80.9;4841;27307;52545;485035;9751;2992.955;2993.126;4424.477;3241.516;4507.208;1679;2134;2134;1451;1.96;1433;4821;6396;58377;123542;167525;27432;12698;8191;9953;1071;581;319;165;92;875;857;411;11743;1551;36003;147;2481;158;52;904;2883;0;0;128637;293835;0;0;0;0;0;0;20;104;10;0;0;0;0;0;90;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;5176;5994;6.86;7702;8571;9425;10297;11157;12031;149212;35;74;0;278;10;1232;84;5910;522;29714;37;51;61;74;86;85;87;90;98;92;3.85;4369;4736;5.13;5544;5.54;5605;5.6;5774;5851;106823;132734;1243;25912;69973;35183;25424;16646;15544;11614;9091;6996;726;0.45;305;0.19;123;81;20986;13214;11122;7551;5518;3782;0.6;357;218;124;75;44;25674;17435;16863;12928;10228;8159;112983;4373;319761;3907;4194;4183;4247;4346;4.27
Azidothymidine;C10H13O4N5;0.28999999;267.28;8.35;19.41;33.35;19.89;56;0.61;1.04;0.62;2.95;32;19;33;20;5;25;0;2;2;3;91;5;0;0;13;10;5;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;96;344;113;294;13;12542;1754;1935;282;44.5;7;29;81314;73789;251;2877;6084;2735;11682;18653;11652;701;4099;33713;61236;554467;24703;2692;3401;2197;39948;1154;5224;18147;108059;2971;557388;557498;882997;559297;966285;1981;2456;2456;1562;2448;1431;2265;4.7;34101;49617;80711;13686;5491;2659;3955;858;576;352;0.19;106;1;297;147;7737;1147;13147;52;414;55;31;1296;2439;0;0;52402;63208;0;0;0;0;0;0;36;95;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4575;5425;6308;7185;8074;8958;9.85;10737;11.63;111741;19;40;0;152;10;694;112;3464;918;18140;20;28;37;47;56;59;57;55;51;37;3258;3689;4025;4369;4635;4796;4796;4934;5017;4905;62367;74755;1199;12388;37.84;19304;13991;9062;8016;6757;5377;4126;736;453;286;183;114;74;10198;5719;4314;3059;2054;1282;537;286;154;83;44;23;13991;9062;8016;6757;5377;4126;59408;2991;136195;3194;3544;3592;3.52;3333;3161
Betamethasone ;C22H29FO5;0.41;392.51;6.89;33.64;57.4;35.63;74.83;0.59;1.01;0.63;2.67;57;28;60;31;4;35;0;4;10;2;33;4;0;0;29;22;0;5;0;0;1;0;0;0;0;1;0;0;1;3;0;0;1;2;0;0;0;168;394;221;362;31;18781;1714;1956;231;62.5;15;70;133312;119286;182;7136;12152;7214;20564;25.2;19109;1670;4418;60222;122143;1112.496;98353;2028;6893;5555;73894;5473;44906;16.5;128507;31795;1559;1558.136;1736.906;1559.931;1782.476;1769;1.87;1871;1724;1869;1692;3.23;8859;66406;110395;134606;19944;5842;2104;4161;982;633;424;222;115;1;530;248;8857;1378;19704;86;932;94;84;1041;2697;0;0;40545;138214;0;0;67.71;153146;0;0;0;0;0;0;0;0;0;0;68;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;5.13;6094;7084;8072;9068;10063;11062;12.06;13061;140693;28;62;0;274;10;1514;154;9314;1638;60652;31;53;84;116;155;194;243;288;321;332;3584;4143;4673;5043;5403;5673;5911;6153;6.4;6551;120968;137275;1135;16307;56562;28.29;20698;12963;13318;13127;10.56;8529;739;418;251;156;91;55;16613;10142;9749;8791;7261;5534;593;327;184;105;63;36;19776;12591;12783;12059;10242;8258;81469;3385;289398;3533;4079;4404;4313;4096;3824
Biotine ;C10H15SN2O3;0.34999999;243.34;7.85;18.5;31.51;19.97;42.67;0.6;1.02;0.64;2.67;31;16;32;17;2;19;0;2;3;5;156;2;0;0;15;10;2;3;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;80;232444;91;185333;11;11038;1846;1993;301;36;5;18;65.81;62.5;313;2111;3946.111;2039;6678.333;16.51;8.39;500;4167;26809;45376;427875;22531;4.01;3178;1663;31097;874;4331;14558;74446;2180;446982;446995;545.35;464643;555621;1666;1849;1849;1542;1.77;1525;2646;4104;22793;32671;62;11901;5172;2979;3847;1162;572;304;164;82;1;263;127;7938;1203;11063;45;280;44;15;1953;2483;0;0;70149;0;0;57755;0;0;0;0;0;34;6;0;0;0;0;0;20;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;4394;5209;6075;6923;7799;8663;9545;10.42;11305;103332;16;34;0;126;20;538;224;2502;1800;12394;17;23;28;37;38;38;40;31;27;25;2996;3332;3466;3761;3.85;3829;3912;3714;3584;3638;57877;61265;1059;3388;32092;16301;11544;7665;7016;5105;4314;3049;721;451;305;182;117;0.08;9687;6584;5495;4559;3796;2462;605;387;239;163;103;65;11897;8119;7567;5813;5.09;3751;53078;2918;100474;3136;3484;3286;2996;2921;2639
