Noms	CI	a_base	BCUT_PEOE_1	BCUT_PEOE_2	BCUT_SLOGP_2	BCUT_SMR_1	BCUT_SMR_2	b_1rotR	b_max1len	GCUT_PEOE_0	GCUT_SLOGP_0	GCUT_SLOGP_3	GCUT_SMR_0	GCUT_SMR_2	logS	mutagenic	PEOE_VSA.0	PEOE_VSA.5	PEOE_VSA.6	PEOE_VSA.0.1	PEOE_VSA_FPOS	rsynth	SlogP_VSA5	SlogP_VSA8	SlogP_VSA9	SMR_VSA5	AMW	Mv	nTB	nR06	nR09	nR10	nR11	nR12	HNar	MSD	Wap	PW3	PW4	PJI2	Lop	T.N..P.	T.O..Cl.	SRW03	piPC06	PCD	X3A	X4A	X3Av	X5Av	MATS1m	MATS2m	MATS7m	MATS8m	MATS4v	MATS5v	MATS6v	MATS4e	MATS7e	MATS8e	MATS2p	MATS5p	MATS6p	MATS7p	MATS8p	GATS4m	GATS5m	GATS6m	GATS7m	GATS4v	GATS2e	GATS4e	GATS2p	GATS7p	GATS8p	JGI2	JGI4	JGI6	SHP2	SPAM	FDI	HOMA	G.O..F.	G.S..F.	G.F..F.	nCp	nR.Cp	nRCOOR	nArCONHR	nRCO	nCONN	nN.C.N.	nRC.N	nArC.N	nRNHR	nArNR2	nN.N	nN.	nNq	nN.CO.2	nArOR	nPyrrolidines	ntH.Thiophenes	nThiophenes	nPyridines	nPyridazines	nPyrazines	C.004	C.005	C.012	C.015	C.020	C.026	C.027	C.029	C.034	H.046	H.047	H.051	H.052	H.054	O.060	N.070	N.071	N.073	N.075	N.076	N.078	N.079	F.081	Cl.090	S.109	P.117	Ui	MLOGP2	ALOGP2	Depressant.50
Abacavir 	0.47	0	-0.65175307	0.69816345	0.68627834	-0.47713333	0.84311146	0.16666667	2	-0.82664275	-1.3352119	2.6895773	-0.5263527	0.2229235	-2.7590401	1	47.425484	0	0	31.616989	0.64354426	0.66666669	0	60.587185	4.2270131	141.5743	7.34	0.62	0	1	1	0	0	0	2.066	0.241	9425	0.33	0.185	0.833	0.741	0	0	6	5.881	34.042	0.168	0.105	0.086	0.023	-0.233	0.142	0.17	-0.294	0.008	-0.013	-0.464	-0.028	0.173	-0.296	0.205	-0.029	-0.476	0.105	-0.248	0.899	0.72	1.319	1.15	0.921	0.624	0.896	0.692	1.04	1.202	0.071	0.037	0.014	0.332	0.34	0.596	-37.593	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	6	0	7	0	0	1	0	0	2	0	0	1	0	0	0	0	3.17	5.913	0.066	0
Acipimox	0.25	0	-0.54284978	0.30930552	0.33991849	-0.20520666	0.58483833	0.090909094	1	-0.89779085	-1.4908329	1.9456276	-0.52685076	0.14330611	0.10195	0	0	0	20.299505	0	0.66340131	1	0	0	33.326015	34.428715	9.57	0.65	0	1	0	0	0	0	1.61	0.294	399	0.332	0.135	1	1.16	0	0	0	4.808	9.801	0.211	0.129	0.069	0.018	-0.022	-0.104	0	0	0.017	0.44	-1.219	-0.126	0	0	-0.218	0.404	-1.195	0	0	1.144	0.977	2.444	0	1	0.888	1.16	1.033	0	0	0.119	0.082	0	0.408	0.417	0.624	-45.554	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3.17	6.721	2.814	0
Acyclovir 	0.17	0	-0.47434905	0.47476992	0.44135505	-0.25400984	0.67921531	0.23529412	5	-0.82791978	-1.3707	2.2837024	-0.51811403	0.1727131	-0.74667001	0	0	42.23106	12.949531	0	0.68785876	1	16.78553	0	22.825352	37.282959	8.34	0.6	0	1	1	0	0	0	1.846	0.28	2325	0.326	0.183	0.8	1.703	0	0	0	5.063	16.965	0.179	0.116	0.069	0.018	-0.434	0.097	-0.099	-1.064	0.167	-0.248	0.283	0.085	-0.105	-1.058	0.187	-0.247	0.273	-0.033	-1.097	0.877	1.101	0.953	1.191	0.797	0.657	0.887	0.654	1.062	2.134	0.077	0.049	0.02	0.366	0.408	0.62	-40.536	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2.322	0.002	7.521	0
Alanine_L	0.30000001	1	-0.54391474	0.34544095	0.2142	-1.0216911e-17	0.1057	0.2	2	-0.85147077	-2.2348113	1.7438873	-0.64055657	-0.054299999	0.15899	0	0	0	24.442041	0	0.71644855	1	0	0	33.326015	0	6.85	0.52	0	0	0	0	0	0	1.286	0.38	29	0.267	0	0.5	0.918	0	0	0	0	0.742	0.333	0	0.113	0	-0.173	-0.035	0	0	0	0	0	0	0	0	-0.161	0	0	0	0	0	0	0	0	0	0.856	0	0.967	0	0	0.148	0	0	0.438	0.383	0.584	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	19.243	5.213	0
Alfentanil	0.75	1	-0.46873644	0.48705176	0.49211439	-0.30521947	0.67856628	0.3125	4	-0.88136494	-2.2598121	2.980588	-0.62985802	0.12992889	-2.7997501	1	137.85938	40.59901	37.740047	26.319006	0.87211251	1	68.464836	56.605217	93.270996	144.82114	6.63	0.58	0	2	0	0	0	0	1.865	0.234	11757	0.356	0.201	0.875	1.187	0	0	0	5.209	21.03	0.181	0.115	0.104	0.039	-0.105	0.126	-0.208	0.042	-0.177	0.198	-0.217	-0.202	-0.207	0.041	0.141	0.204	-0.221	-0.216	0.051	1.186	0.812	1.175	1.063	1.13	0.644	1.191	0.746	1.098	0.788	0.096	0.036	0.019	0.238	0.309	0.54	-80.683	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	20	2	3	0	0	0	0	0	0	0	2	1	0	0	0	0	3.322	1.329	0.469	0
Aminohippuric_acid_PAH  	0.47	0	-0.61777115	0.65632534	0.61629564	-0.4607859	0.79961628	0.21428572	2	-0.84443831	-1.4896291	2.1967897	-0.4712235	0.18890159	-1.50818	1	63.233978	12.949531	0	0	0.6519165	1	0	0	2.7567475	103.46992	8.4	0.64	0	1	0	0	0	0	1.68	0.317	735	0.289	0.128	0.8	1.876	0	0	0	4.627	13.229	0.214	0.134	0.082	0.024	-0.061	0.178	-0.788	-0.93	-0.46	0.26	-0.151	-0.432	-0.786	-0.924	0.15	0.226	-0.101	-0.795	-0.99	1.322	0.878	1.301	1.953	1.342	0.649	1.319	0.699	1.879	2.078	0.099	0.045	0.02	0.368	0.392	0.615	-74.281	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.17	0.258	0.514	0
Amprenavir	0.38	0	-0.56108528	0.62323141	0.67874396	-0.42056954	0.71550459	0.2972973	8	-0.81484222	-1.3343045	2.9088197	-0.53086179	0.18466157	-4.1195402	1	62.022102	4.1846013	19.199511	142.27646	0.51427776	0.51428574	20.41914	18.868406	93.270996	229.42265	7.22	0.6	0	2	0	0	0	0	1.818	0.209	9751	0.319	0.165	0.875	0.904	0	0	0	5.54	25.912	0.19	0.123	0.124	0.044	0.212	-0.109	0.041	-0.066	-0.321	0.09	0.092	-0.334	-0.247	0.19	0.277	0.014	0.131	-0.335	0.184	1.63	0.892	0.716	1.088	1.343	0.718	1.334	0.773	1.319	0.859	0.078	0.041	0.018	0.208	0.259	0.513	-80.683	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	20	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1.256	8.725	0
Azidothymidine	0.28999999	0	-0.58018416	0.59481478	0.58635789	-0.40248716	0.71508211	0.15000001	2	-0.80325985	-1.1699553	2.5146668	-0.52295119	0.17828116	-0.66157001	1	42.567951	12.949531	17.440542	21.480953	0.66924024	1	19.848583	18.868406	57.188232	36.082764	8.35	0.61	0	1	0	0	0	0	1.754	0.251	2971	0.352	0.19	1	1.296	0	0	0	4.796	12.388	0.183	0.114	0.083	0.023	-0.182	0.069	-0.021	-0.421	0.191	-0.156	0.07	0.191	-0.018	-0.424	0.137	-0.144	0.078	-0.067	-0.376	0.858	1.115	0.909	1.009	0.834	0.799	0.86	0.766	1.035	1.336	0.095	0.055	0.02	0.349	0.336	0.611	-63.612	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	2.585	0.324	3.242	0
Betamethasone 	0.41	0	-0.51543838	0.55147099	0.5065102	-0.38282046	0.67362058	0.064516127	4	-0.79044366	-0.9486618	3.3969519	-0.53789598	0.15361278	-3.1791301	0	189.70193	0	0	18.017035	0.70808786	0.32142857	3.185575	75.473625	114.93816	128.40317	6.89	0.59	0	3	1	2	0	0	1.714	0.182	31795	0.424	0.222	1	1.041	0	0	0	5.673	16.307	0.156	0.091	0.105	0.036	0.024	-0.049	0.182	0.018	-0.14	-0.226	0.125	-0.145	0.189	-0.043	-0.044	-0.226	0.129	0.189	-0.072	1.092	1.269	1.035	0.913	1.05	0.735	1.066	0.724	0.957	1.184	0.164	0.06	0.031	0.27	0.265	0.578	-70.44	14.898	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	6	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	2.322	3.439	2.696	0
Biotine 	0.34999999	0	-0.59289902	0.49215984	0.60496813	-0.41216913	0.5645529	0.29411766	5	-0.85154134	-1.489729	2.6143737	-0.52720201	0.15712257	-1.63741	0	63.233978	0	17.440542	0	0.6454373	1	0	75.473625	56.081757	75.473625	7.85	0.6	0	0	0	0	0	0	1.846	0.313	2180	0.304	0.164	1	1.953	0	0	0	3.829	3.388	0.182	0.117	0.163	0.065	-0.123	-0.135	0.282	-0.07	-0.139	-0.311	-0.223	-0.218	-0.354	-0.46	0.321	-0.37	-0.081	-0.941	-0.028	1.245	1.188	0.911	1.138	0.934	0.49	1.014	0.574	2.147	1.001	0.068	0.038	0.019	0.359	0.336	0.596	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.585	0.316	0.001	0
