CI	ast_fraglike	ast_fraglike_ext	ast_violation	a_don	a_ICM	BCUT_SLOGP_1	BCUT_SLOGP_3	BCUT_SMR_0	b_1rotN	b_double	chiral_u	density	FCharge	GCUT_PEOE_1	GCUT_PEOE_2	GCUT_SLOGP_1	GCUT_SLOGP_2	GCUT_SMR_1	lip_violation	logP.o.w.	opr_leadlike	PEOE_PC.	PEOE_PC..1	PEOE_RPC.	PEOE_RPC..1	PEOE_VSA.1	PEOE_VSA.2	PEOE_VSA.3	PEOE_VSA.4	PEOE_VSA.1.1	PEOE_VSA.2.1	PEOE_VSA.3.1	PEOE_VSA.4.1	PEOE_VSA.5.1	PEOE_VSA.6.1	PEOE_VSA_FHYD	PEOE_VSA_FPNEG	PEOE_VSA_FPPOS	PEOE_VSA_NEG	PEOE_VSA_PNEG	PEOE_VSA_POL	PEOE_VSA_PPOS	reactive	SlogP_VSA0	SlogP_VSA1	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA6	SMR_VSA1	SMR_VSA2	SMR_VSA3	SMR_VSA4	vsa_acc	vsa_base	vsa_don	vsa_other	vsa_pol	Ms	ARR	nCIR	nAB	nH	nN	nO	nR05	nR07	nR08	TI2	J	Jhetp	MAXDN	MAXDP	S3K	PW2	D.Dr05	D.Dr06	D.Dr08	D.Dr09	D.Dr10	T.Cl..Cl.	SRW05	MPC10	PCR	X0Av	X1Av	ATS7m	MATS3m	MATS4m	MATS5m	MATS1v	MATS2v	MATS3v	MATS8v	MATS3p	MATS4p	GATS1m	GATS2m	GATS3m	GATS8m	GATS3v	GATS8v	GATS3e	GATS5e	GATS7e	GATS8e	GATS1p	GATS3p	JGI1	JGI3	JGI5	JGI7	JGI8	JGI9	JGI10	JGT	DP20	J3D	PJI3	L.Bw	AROM	DISPm	DISPv	DISPe	G.N..N.	G.N..O.	G.N..S.	G.N..Cl.	G.O..O.	G.S..S.	nCs	nCrs	nCrt	nCbH	nCb.	nCconj	nArCOOR	nRCONH2	nRCONHR	nRCONR2	nROCON	nArCO	nC..N.N2	nArNH2	nArNHR	nRNR2	nArOH	nOHp	nOHs	nOHt	nRSR	nArX	nBeta.Lactams	nOxolanes	nThiazoles	nHBonds	C.003	C.007	C.008	C.009	C.011	C.016	C.017	C.018	C.019	C.025	C.028	C.031	C.032	C.033	C.037	C.040	C.041	C.043	C.044	H.048	H.049	H.053	O.056	O.059	N.066	N.067	N.068	N.072	N.074	Cl.089	S.107	S.108	S.110	Hy	MLOGP	ALOGP	LAI	GVWAI.50	Inflammat.80	Inflammat.50	Depressant.80	Psychotic.80	Hypertens.80	Hypertens.50	Hypnotic.80	Hypnotic.50	Neoplastic.80	Neoplastic.50	Infective.50	ALOGPS_logP	ALOGPS_logS
0.47	0	0	1	3	1.5963922	-0.61096126	2.7988126	-2.3193786	4	1	2	0.84631175	0	-0.42169598	0.1123732	-0.334335	0.14603694	-0.23968126	0	0.40906	1	1.3972142	-1.3972142	0.17155486	0.20923182	8.9080906	13.399102	69.230118	15.681574	17.742489	0	17.047728	19.249496	0	0	0.85463625	0.080105744	0.065258026	85.656708	19.249496	34.931072	15.681574	0	58.282413	70.266434	3.9819686	20.926258	4.4107962	0	77.640907	4.4107962	7.9639373	26.09721	17.047728	0	23.425066	62.853218	54.039715	2.2	0.25	5	6	18	6	1	2	0	0	2.827	1.433	1.196	1.409	3.257	2.494	0.588	89.386	50.631	0	76.662	0	0	60	111	1.38	0.555	0.308	2.914	-0.16	-0.024	0.022	-0.268	0.186	-0.156	-0.264	-0.152	0.023	0.96	0.63	1.021	1.437	1.062	1.271	1.016	0.709	1.161	1.455	1.075	1.075	0.188	0.043	0.023	0.017	0.009	0.007	0.007	0.416	0.005	3.039	0.971	3.75	1	1.111	2.039	0.07	22.91	28.766	0	0	0	0	5	5	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1.968	2.432	-0.258	0	0	0	0	0	0	1	0	0	0	1	0	0	0.61	-2.37
0.25	1	1	0	0	1.882856	-0.54091692	2.2634003	-2.0015478	1	1	0	0.93346751	-1	-0.48435128	-0.071216375	-0.43002531	-0.012148388	-0.15480453	0	-0.12947001	1	1.0726912	-2.0726912	0.29110149	0.26502767	14.708499	29.408449	26.999058	6.6995511	0	0	0	5.6825762	0	44.099365	0.48084819	0.33659872	0.1825531	49.78194	49.78194	76.780998	26.999058	0	46.729931	18.249538	0	26.836138	29.375711	0	16.78553	26.836138	5.513495	0	49.78194	0	0	14.708499	49.78194	3.36	0.545	1	6	5	2	3	0	0	0	1.696	2.396	2.267	3.116	3.73	1.509	0.591	0	34.381	0	0	0	0	0	0	1.327	0.522	0.261	0	-0.205	-0.113	0.515	-0.046	-0.181	-0.155	0	-0.129	0.076	0.723	0.897	1.047	0	1.012	0	1.051	0.981	0	0	0.822	0.994	0.273	0.049	0.047	0	0	0	0	0.569	0	4.422	0.607	3.56	1	7.306	4.792	0.325	1.65	11.641	0	0	6.571	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	-0.526	-2.592	-1.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.48
0.17	0	0	1	3	1.8505069	-0.42478737	2.4213343	-2.2203956	4	2	0	0.94300383	0	-0.44175255	0.074982315	-0.45166525	0.052612532	-0.1929125	0	-0.93099999	1	1.7582935	-1.7582935	0.17204717	0.187281	0	0	64.739105	22.058474	0	17.742489	11.365152	19.249496	13.566921	2.503756	0.45467067	0.17111991	0.37420943	64.427818	35.320175	112.55924	77.239067	0	58.282413	43.853249	10.999887	41.852516	26.618963	0	60.855377	0	2.7567475	53.235859	27.435829	0	23.425066	91.161674	64.427818	2.76	0	3	0	11	5	3	1	0	0	2.927	1.869	1.264	2.146	4.375	2.24	0.564	31.319	37.716	0	58.373	0	0	10	20	1.29	0.527	0.277	2.407	-0.119	0.094	-0.242	-0.517	0.158	-0.178	-1.097	-0.202	0.195	1.217	0.656	0.976	2.225	1.052	2.174	0.968	1.098	1.201	2.227	1.388	1.085	0.176	0.054	0.028	0.018	0.016	0.005	0	0.445	0.001	3.68	0.861	5.58	0	7.781	8.517	0.181	13.024	47.76	0	0	12.678	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	2	1	0	1	1	1	1	0	0	2	0	0	0	0	2.382	0.041	-2.742	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.95	-1.39
0.30000001	1	1	0	0	1.6691804	-0.40684095	2.316818	-2.30796	1	1	1	0.93659961	0	-0.37000412	0.18544096	-0.41381657	0.054200001	-0.16	0	-0.53799999	1	1.086183	-1.086183	0.41031605	0.5	29.408449	14.708499	0	0	0	0	0	0	0	27.133842	0.4610267	0.28355145	0.25542185	27.133842	27.133842	51.575882	24.442041	0	75.580528	1.4640081	27.844185	0	0	0	0	32.897186	3.9819686	0	27.133842	17.742489	17.742489	14.708499	44.876331	3.67	0	0	0	7	1	2	0	0	0	1.521	2.993	2.315	2.769	2.525	2.442	0.578	0	0	0	0	0	0	0	0	1.065	0.644	0.367	0	-0.481	0	0	-0.185	-0.119	-0.34	0	-0.272	0	0.931	0.863	1.292	0	1.148	0	1.307	0	0	0	0.974	1.081	0.4	0	0	0	0	0	0	0.548	0	8.275	0.803	1.86	0	6.987	2.901	0.263	0	3.833	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.492	-4.387	-2.283	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.12	-0.45
0.75	0	0	2	0	1.5492111	-0.43239304	2.6930003	-2.6288345	10	3	0	0.80041546	1	-0.3767485	-0.02412192	-0.24847013	0.061488181	-0.18804446	0	-0.70499998	0	2.7184319	-1.7184319	0.13451326	0.20318884	22.508045	51.916496	57.716904	33.249039	0	0	0	13.566921	13.566921	2.503756	0.67723197	0.06773603	0.25503197	55.956604	29.637598	141.22569	111.5881	0	6.2486277	16.092323	34.862103	113.12415	0	0	39.084553	3.1243138	0	2.7567475	55.956604	0	0	30.390074	55.956604	2.23	0.188	3	6	33	6	3	1	0	0	4.507	1.594	1.191	1.827	5.96	5.018	0.567	103.071	227.07	0	0	0	0	10	102	1.201	0.61	0.341	3.575	0.002	-0.2	0.182	-0.088	0.138	0.017	0.049	0.022	-0.164	0.893	0.65	0.964	0.733	0.937	0.77	0.967	0.818	1.06	0.729	0.954	0.926	0.188	0.06	0.019	0.015	0.009	0.009	0.008	0.459	1.14	5.033	0.97	6.94	1	0.911	3.376	0.084	35.529	63.978	0	0	13.361	0	3	2	1	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	1	0	0	0	3	0	0	0	0	0	-0.283	-1.153	0.684	0	0	0	0	0	0	1	0	0	0	1	0	0	2.76	-4.17
0.47	1	0	0	2	1.7490603	-0.54256749	2.312768	-2.0506938	3	2	0	0.87569231	-1	-0.51543027	0.09580446	-0.44257069	0.14184693	-0.22543743	0	0.15899999	1	0.68809998	-1.6881	0.39997327	0.32410491	23.61659	0	20.299505	0	0	17.742489	0	5.6825762	13.566921	27.133842	0.67793334	0.25177488	0.070291765	64.125832	46.383339	59.33287	12.949531	0	93.591278	6.7227917	23.862217	18.439579	27.047791	0	0	18.01075	3.185575	2.7567475	40.700764	0	23.425066	27.65803	64.125832	3.12	0.429	1	6	9	2	3	0	0	0	3.28	2.199	2.036	2.992	4.217	3.296	0.571	0	49.065	0	0	0	0	0	4	1.322	0.521	0.28	2.14	0.008	-0.435	0.33	-0.076	0.16	0.024	-0.975	0.029	-0.468	0.739	0.651	0.776	2.068	0.79	2.079	0.775	0.875	1.956	2.066	0.796	0.801	0.25	0.039	0.034	0.015	0.03	0	0	0.533	0	4.868	0.821	7.04	1	5.435	0.885	0.299	3.781	18.581	0	0	5.949	0	0	0	0	4	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1.453	0.508	-0.717	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.39	-1.8
0.38	0	0	2	3	1.6166263	-0.53807992	2.6472163	-2.4574602	11	1	3	0.84211391	0	-0.39001176	0.075144276	-0.35153347	0.13903178	-0.21605732	1	2.385	0	2.0661926	-2.0661926	0.18562526	0.16991898	58.616047	60.375015	38.975513	0	0	17.742489	0	64.832939	2.503756	2.503756	0.80300462	0.14758179	0.049413614	229.85939	69.840454	93.224564	23.384111	0	76.293167	57.006886	45.559784	78.731674	7.5963712	0	26.903788	23.972281	20.104841	2.7567475	48.0872	0	23.425066	31.808876	85.079185	2.47	0.324	3	12	35	3	6	1	0	0	4.841	1.679	1.433	4.821	6.396	8.191	0.581	128.637	293.835	0	0	0	0	10	92	1.243	0.6	0.357	4.312	-0.179	-0.138	0.019	-0.191	0.261	-0.071	0.182	0.026	-0.236	1.426	1.354	1.446	0.992	1.068	0.911	1.08	1.085	1.18	0.93	1.405	1.071	0.243	0.056	0.025	0.013	0.013	0.007	0.006	0.5	0.018	5.489	0.943	1.36	1	1.113	1.424	0.112	12.001	51.234	6.274	0	42.244	0	5	2	0	9	3	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	1	1	0	0	0	0	1	1.548	1.12	2.954	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85	-4.01
0.28999999	0	0	1	2	1.8457925	-0.49892703	2.6514287	-2.2995613	3	5	3	0.94275385	0	-0.44952691	0.098424405	-0.36497653	0.082020089	-0.2217512	0	-2.075	1	1.5591198	-1.5591198	0.22736776	0.214917	38.31654	6.6995511	8.458519	35.008007	9.4210396	0	5.6825762	27.133842	13.566921	2.503756	0.54979599	0.17910114	0.27110291	79.789085	43.204517	108.6026	65.398079	0	43.395977	13.213054	51.352543	20.926258	0	0	45.172546	64.875458	19.676014	0	60.539589	0	5.6825762	56.499107	79.789085	2.95	0	2	0	13	5	4	1	0	0	2.692	1.981	1.431	2.265	4.7	2.659	0.576	52.402	63.208	0	0	0	0	10	37	1.199	0.537	0.286	2.948	-0.311	0.192	-0.181	-0.181	0.116	-0.368	-0.392	-0.392	0.188	0.967	0.796	1.257	1.404	1.308	1.357	1.251	1.117	1.008	1.409	1.022	1.328	0.225	0.057	0.035	0.02	0.014	0.009	0	0.532	0.002	4.378	0.95	6.72	0	1.929	1.294	0.137	25.56	55.254	0	0	20.062	0	3	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	1	0	0	0	2	0	0	0	0	0	0.6	-0.57	-1.801	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.1	-1.21
0.41	0	0	2	3	1.4364237	-0.46517548	2.9975088	-2.671762	2	4	8	0.85443532	0	-0.41025048	0.032483771	-0.34128129	0.00077885773	-0.22400635	0	2.151	1	1.5166826	-1.5166826	0.16378292	0.19168906	0	0	16.917038	30.516994	0	0	0	52.609398	27.133842	0	0.67076302	0.23811327	0.09112373	97.760277	79.74324	110.26023	30.516994	1	76.155678	11.375222	54.193081	20.926258	13.232388	0	91.115791	13.232388	9.6542244	0	27.133842	0	0	16.917038	67.834602	2.67	0	10	0	29	0	5	1	0	0	2.028	1.769	1.692	3.23	8.859	2.104	0.633	40.545	138.214	0	67.71	153.146	0	10	332	1.135	0.593	0.327	3.59	0.018	-0.15	-0.227	0.026	-0.043	0.044	-0.081	0.042	-0.141	0.546	0.76	0.988	1.002	0.865	1.201	0.907	1.269	0.943	1.129	0.553	0.875	0.323	0.083	0.041	0.021	0.015	0.013	0.009	0.758	0.009	4.533	0.794	5.03	0	3.035	4.835	0.096	0	0	0	0	38.591	0	5	5	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	3	3	0	1	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0.882	1.855	1.642	0	0	1	0	0	0	1	1	0	0	1	0	0	1.93	-3.89
0.34999999	1	0	0	2	1.774276	-0.52084172	2.7734818	-2.4070051	5	2	3	0.92868292	-1	-0.45501834	0.082828276	-0.38455367	0.10946272	-0.23245332	0	0.44	1	0.91152912	-1.9115291	0.39509159	0.28729132	36.677658	13.399102	0	0	0	19.760618	0	24.932074	0	27.133842	0.65689009	0.25701687	0.086093053	71.82653	52.065914	69.506454	17.440542	0	78.704842	6.2939644	34.602108	17.233564	0	0	0	36.0215	10.739892	0	40.700764	0	11.365152	32.14904	52.065914	2.67	0	3	0	15	2	3	2	0	1	4.01	1.666	1.525	2.646	4.104	2.979	0.572	70.149	0	57.755	0	0	0	20	25	1.059	0.605	0.387	2.859	-0.053	-0.195	0.02	-0.07	0.368	-0.235	-0.272	-0.318	-0.01	1.016	1.092	1.249	0.202	0.975	1.701	0.843	1.062	1.44	1.981	0.721	1.223	0.206	0.063	0.023	0.017	0.015	0.018	0	0.467	0	4.645	0.919	4.05	0	1.487	0.665	0.191	0	19.565	4.32	0	10.794	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0.573	0.562	-0.033	0	0	0	0	0	0	1	0	0	0	1	0	0	0.35	-2.13
