Noms;CI;paper;SMILE;apol;ast_fraglike;ast_fraglike_ext;ast_violation;ast_violation_ext;a_acc;a_acid;a_aro;a_base;a_count;a_don;a_donacc;a_heavy;a_hyd;a_IC;a_ICM;a_nB;a_nBr;a_nC;a_nCl;a_nF;a_nH;a_nI;a_nN;a_nO;a_nP;a_nS;balabanJ;BCUT_PEOE_0;BCUT_PEOE_1;BCUT_PEOE_2;BCUT_PEOE_3;BCUT_SLOGP_0;BCUT_SLOGP_1;BCUT_SLOGP_2;BCUT_SLOGP_3;BCUT_SMR_0;BCUT_SMR_1;BCUT_SMR_2;BCUT_SMR_3;bpol;b_1rotN;b_1rotR;b_ar;b_count;b_double;b_heavy;b_max1len;b_rotN;b_rotR;b_single;b_triple;chi0;chi0v;chi0v_C;chi0_C;chi1;chi1v;chi1v_C;chi1_C;chiral;chiral_u;density;diameter;FCharge;GCUT_PEOE_0;GCUT_PEOE_1;GCUT_PEOE_2;GCUT_PEOE_3;GCUT_SLOGP_0;GCUT_SLOGP_1;GCUT_SLOGP_2;GCUT_SLOGP_3;GCUT_SMR_0;GCUT_SMR_1;GCUT_SMR_2;GCUT_SMR_3;Kier1;Kier2;Kier3;KierA1;KierA2;KierA3;KierFlex;lip_acc;lip_don;lip_druglike;lip_violation;logP(o/w);logS;mr;mutagenic;nmol;opr_brigid;opr_leadlike;opr_nring;opr_nrot;opr_violation;PC+;PC-;PEOE_PC+;PEOE_PC-;PEOE_RPC+;PEOE_RPC-;PEOE_VSA+0;PEOE_VSA+1;PEOE_VSA+2;PEOE_VSA+3;PEOE_VSA+4;PEOE_VSA+5;PEOE_VSA+6;PEOE_VSA-0;PEOE_VSA-1;PEOE_VSA-2;PEOE_VSA-3;PEOE_VSA-4;PEOE_VSA-5;PEOE_VSA-6;PEOE_VSA_FHYD;PEOE_VSA_FNEG;PEOE_VSA_FPNEG;PEOE_VSA_FPOL;PEOE_VSA_FPOS;PEOE_VSA_FPPOS;PEOE_VSA_HYD;PEOE_VSA_NEG;PEOE_VSA_PNEG;PEOE_VSA_POL;PEOE_VSA_POS;PEOE_VSA_PPOS;petitjean;petitjeanSC;Q_PC+;Q_PC-;Q_RPC+;Q_RPC-;Q_VSA_FHYD;Q_VSA_FNEG;Q_VSA_FPNEG;Q_VSA_FPOL;Q_VSA_FPOS;Q_VSA_FPPOS;Q_VSA_HYD;Q_VSA_NEG;Q_VSA_PNEG;Q_VSA_POL;Q_VSA_POS;Q_VSA_PPOS;radius;reactive;rings;RPC+;RPC-;rsynth;SlogP;SlogP_VSA0;SlogP_VSA1;SlogP_VSA2;SlogP_VSA3;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA8;SlogP_VSA9;SMR;SMR_VSA0;SMR_VSA1;SMR_VSA2;SMR_VSA3;SMR_VSA4;SMR_VSA5;SMR_VSA6;SMR_VSA7;TPSA;VAdjEq;VAdjMa;VDistEq;VDistMa;vdw_area;vdw_vol;vsa_acc;vsa_acid;vsa_base;vsa_don;vsa_hyd;vsa_other;vsa_pol;Weight;weinerPath;weinerPol;zagreb
Abacavir ;0.47;3;OCC1CC(n2c3nc(nc(NC4CC4)c3nc2)N)C=C1;44.044273;0;0;1;2;4;0;9;0;39;3;7;21;10;62.259293;1.5963922;0;0;14;0;0;18;0;6;1;0;0;1.4380018;-2.5572333;-0.65175307;0.69816345;2.7511678;-2.5346649;-0.61096126;0.68627834;2.7988126;-2.3193786;-0.47713333;0.84311146;3.0135536;25.617725;4;0.16666667;10;42;1;24;2;4;0.16666667;31;0;14.396976;11.605947;8.2925291;8.9911995;10.241515;7.3010569;4.0412416;4.5244045;2;2;0.84631175;11;0;-0.82664275;-0.42169598;0.1123732;2.6160929;-1.3352119;-0.334335;0.14603694;2.6895773;-0.5263527;-0.23968126;0.2229235;2.887711;14.583333;5.8938775;2.6988754;10.810469;4.2982244;1.9435591;2.2126582;7;4;1;0;0.40906;-2.7590401;7.7036643;1;1;18;1;4;4;0;0;0;1.3972142;-1.3972142;0.17155486;0.20923182;47.425484;8.9080906;13.399102;69.230118;15.681574;0;0;31.616989;17.742489;0;17.047728;19.249496;0;0;0.85463625;0.35645577;0.080105744;0.14536378;0.64354426;0.065258026;205.37;85.656708;19.249496;34.931072;154.64436;15.681574;0.45454547;0.83333331;0;0;0;0;1;0;0;0;1;0;240.30107;0;0;0;240.30107;0;6;0;4;0;0;0.66666669;1.1878;58.282413;70.266434;3.9819686;20.926258;4.4107962;0;0;55.931343;60.587185;4.2270131;7.9860902;0;77.640907;4.4107962;7.9639373;26.09721;141.5743;20.926258;0;101.88;0.49641782;5.5849624;3.1634064;8.4918346;240.30107;316.89856;17.047728;0;0;23.425066;123.40814;62.853218;54.039715;286.33899;910;31;118
Acipimox;0.25;3;O=C([O-])c1ncc([n+]([O-])c1)C;18.499966;1;1;0;0;2;2;6;0;16;0;2;11;5;30.125696;1.882856;0;0;6;0;0;5;0;2;3;0;0;2.4406667;-2.2133119;-0.54284978;0.30930552;2.2830651;-2.4334428;-0.54091692;0.33991849;2.2634003;-2.0015478;-0.20520666;0.58483833;2.4820933;10.320035;1;0.090909094;6;16;1;11;1;1;0.090909094;9;0;8.4307213;5.7738724;3.6547005;4.1462646;5.1090608;2.8817842;1.3273503;1.7271802;0;0;0.93346751;6;-1;-0.89779085;-0.48435128;-0.071216375;2.0009258;-1.4908329;-0.43002531;-0.012148388;1.9456276;-0.52685076;-0.15480453;0.14330611;2.2309468;9.090909;3.5999999;2.2145329;6.3549809;2.4149151;1.4310889;1.3951582;5;0;1;0;-0.12947001;0.10195;3.6472318;0;1;6;1;1;1;0;0;0;1.0726912;-2.0726912;0.29110149;0.26502767;0;14.708499;29.408449;26.999058;6.6995511;0;20.299505;0;0;0;0;5.6825762;0;44.099365;0.48084819;0.33659872;0.33659872;0.51915181;0.66340131;0.1825531;71.116005;49.78194;49.78194;76.780998;98.115067;26.999058;0.5;1;0;0;0;0;1;0;0;0;1;0;147.897;0;0;0;147.897;0;3;0;1;0;0;1;-1.61308;46.729931;18.249538;0;26.836138;29.375711;0;0;34.428715;0;33.326015;3.22645;70.592148;16.78553;26.836138;5.513495;0;34.428715;1.4640081;33.326015;78.480003;0.68403846;4.4594316;2.3710012;6.6055841;147.897;158.63112;49.78194;27.133842;0;0;83.406563;14.708499;49.78194;153.117;152;14;52
Acyclovir ;0.17;3;O=C1N=C(Nc2n(cnc12)COCCO)N;29.320723;0;0;1;3;5;0;5;0;27;3;8;16;3;49.963688;1.8505069;0;0;8;0;0;11;0;5;3;0;0;1.8804839;-2.4586353;-0.47434905;0.47476992;2.4398603;-2.5732431;-0.42478737;0.44135505;2.4213343;-2.2203956;-0.25400984;0.67921531;2.6901476;19.519278;4;0.23529412;5;28;2;17;5;4;0.23529412;21;0;11.543606;8.3813715;4.6986704;5.1378284;7.7195454;4.61343;1;1.1666666;0;0;0.94300383;9;0;-0.82791978;-0.44175255;0.074982315;2.2964456;-1.3707;-0.45166525;0.052612532;2.2837024;-0.51811403;-0.1929125;0.1727131;2.5650141;12.456747;5.5576558;2.8311112;8.8106642;3.8308983;1.913875;2.1095474;8;4;1;0;-0.93099999;-0.74667001;5.3532133;0;1;10;1;2;4;0;0;0;1.7582935;-1.7582935;0.17204717;0.187281;0;0;0;64.739105;22.058474;42.23106;12.949531;0;0;17.742489;11.365152;19.249496;13.566921;2.503756;0.45467067;0.31214121;0.17111991;0.54532933;0.68785876;0.37420943;93.846748;64.427818;35.320175;112.55924;141.97816;77.239067;0.44444445;0.80000001;0;0;0;0;1;0;0;0;1;0;206.40599;0;0;0;206.40599;0;5;0;2;0;0;1;-1.0037;58.282413;43.853249;10.999887;41.852516;26.618963;16.78553;0;16.78553;0;22.825352;5.50454;34.862103;60.855377;0;2.7567475;53.235859;37.282959;49.010395;0;114.76;0.56510133;5.0874629;2.9565868;7.6789293;206.40599;227.06165;27.435829;0;0;23.425066;50.816502;91.161674;64.427818;225.20799;453;22;80
Alanine_L;0.30000001;3;O=C([O-])C([NH3+])C;12.651551;1;1;0;0;0;2;0;1;13;0;0;6;2;21.699345;1.6691804;0;0;3;0;0;7;0;1;2;0;0;3.077395;-2.4964128;-0.54391474;0.34544095;2.5073121;-3.3039858;-0.40684095;0.2142;2.316818;-2.30796;-1.0216911e-017;0.1057;2.6955085;8.2484493;1;0.2;0;12;1;5;2;1;0.2;11;0;5.1547008;3.6009536;2.0773504;2.1547005;2.6427345;1.6825219;0.86602539;0.91068363;1;1;0.93659961;3;0;-0.85147077;-0.37000412;0.18544096;1.9296426;-2.2348113;-0.41381657;0.054200001;1.7438873;-0.64055657;-0.16;-0.054299999;2.0893912;6;2.2222223;3;5.03652;1.7873056;2.3101876;1.5003;3;3;1;0;-0.53799999;0.15899;2.1459336;0;1;0;1;0;1;0;0;0;1.086183;-1.086183;0.41031605;0.5;0;29.408449;14.708499;0;0;0;24.442041;0;0;0;0;0;0;27.133842;0.4610267;0.28355145;0.28355145;0.53897333;0.71644855;0.25542185;44.116947;27.133842;27.133842;51.575882;68.55899;24.442041;0.33333334;0.5;0;0;0;0;1;0;0;0;1;0;95.692833;0;0;0;95.692833;0;2;0;0;0;0;1;-2.6333001;75.580528;1.4640081;27.844185;0;0;0;0;0;0;33.326015;1.73571;66.545563;0;32.897186;3.9819686;0;0;1.4640081;33.326015;67.769997;0.85240519;3.321928;1.5655962;4.7883415;95.692833;87.591324;27.133842;27.133842;17.742489;17.742489;36.108002;14.708499;44.876331;89.094002;29;4;22
Alfentanil;0.75;3;O=C1N(N=NN1CC)CC[NH+]1CCC(N(C(=O)CC)c2ccccc2)(CC1)COC;67.970169;0;0;2;3;5;0;6;1;63;0;5;30;19;97.600304;1.5492111;0;0;21;0;0;33;0;6;3;0;0;1.5958692;-2.841125;-0.46873644;0.48705176;2.8467636;-3.5094543;-0.43239304;0.49211439;2.6930003;-2.6288345;-0.30521947;0.67856628;3.0589707;45.847832;10;0.3125;6;65;3;32;4;10;0.3125;56;0;21.562267;18.211525;14.250712;15.131546;14.541172;10.755432;6.2391109;7.1996188;0;0;0.80041546;15;1;-0.88136494;-0.3767485;-0.02412192;3.0526488;-2.2598121;-0.24847013;0.061488181;2.980588;-0.62985802;-0.18804446;0.12992889;3.2607999;24.638672;11.743802;5.8800001;19.434469;9.1827307;4.5693283;5.9487166;9;1;1;0;-0.70499998;-2.7997501;11.500332;1;1;17;0;3;11;2;0;0;2.7184319;-1.7184319;0.13451326;0.20318884;137.85938;22.508045;51.916496;57.716904;33.249039;40.59901;37.740047;26.319006;0;0;0;13.566921;13.566921;2.503756;0.67723197;0.1278875;0.06773603;0.322768;0.87211251;0.25503197;296.31982;55.956604;29.637598;141.22569;381.58893;111.5881;0.46666667;0.875;0;0;0;0;1;0;0;0;1;0;437.54553;0;0;0;437.54553;0;8;0;3;0;0;1;1.5332;6.2486277;16.092323;34.862103;113.12415;0;68.464836;0;88.215919;56.605217;93.270996;11.29617;61.848633;39.084553;3.1243138;0;2.7567475;144.82114;123.21289;102.0359;82.25;0.37005648;6;3.6520743;9.5165787;437.54553;480.08817;55.956604;0;0;0;351.19885;30.390074;55.956604;417.534;2599;49;152
Aminohippuric_acid_PAH  ;0.47;3;O=C(NCC(=O)[O-])c1ccc(N)cc1;26.447138;1;0;0;1;1;2;6;0;23;2;3;14;7;40.228386;1.7490603;0;0;9;0;0;9;0;2;3;0;0;2.2200513;-2.3684716;-0.61777115;0.65632534;2.3124449;-2.6417463;-0.54256749;0.61629564;2.312768;-2.0506938;-0.4607859;0.79961628;2.6229014;12.712863;3;0.21428572;6;23;2;14;2;4;0.2857143;15;0;10.552042;7.318603;5.0165076;5.8449349;6.5922241;3.9295216;2.4249206;3.3745749;0;0;0.87569231;9;-1;-0.84443831;-0.51543027;0.09580446;2.1388299;-1.4896291;-0.44257069;0.14184693;2.1967897;-0.4712235;-0.22543743;0.18890159;2.4437604;12.071428;5.7777777;4.3878117;7.9718752;3.6791739;2.7166083;2.0949941;5;3;1;0;0.15899999;-1.50818;5.0207567;1;1;6;1;1;3;0;0;0;0.68809998;-1.6881;0.39997327;0.32410491;63.233978;23.61659;0;20.299505;0;12.949531;0;0;0;17.742489;0;5.6825762;13.566921;27.133842;0.67793334;0.34808347;0.25177488;0.32206666;0.6519165;0.070291765;124.89256;64.125832;46.383339;59.33287;120.09961;12.949531;0.44444445;0.80000001;0;0;0;0;1;0;0;0;1;0;184.22543;0;0;0;184.22543;0;5;0;1;0;0;1;-1.2515;93.591278;6.7227917;23.862217;18.439579;27.047791;0;0;70.572739;0;2.7567475;4.8194599;90.407776;0;18.01075;3.185575;2.7567475;103.46992;25.162371;0;95.25;0.59167278;4.8073549;2.9448397;7.2743459;184.22543;210.24507;40.700764;27.133842;0;23.425066;92.441574;27.65803;64.125832;193.18199;339;16;64
Amprenavir;0.38;3;S(=O)(=O)(N(CC(C)C)CC(O)C(NC(OC1CCOC1)=O)Cc1ccccc1)c1ccc(N)cc1;78.349754;0;0;2;4;5;0;12;0;70;3;8;35;24;113.16384;1.6166263;0;0;25;0;0;35;0;3;6;0;1;1.6803939;-2.7247064;-0.56108528;0.62323141;2.6970959;-2.8659394;-0.53807992;0.67874396;2.6472163;-2.4574602;-0.42056954;0.71550459;2.9687238;51.508244;11;0.2972973;12;72;1;37;8;13;0.35135135;59;0;25.424074;20.985958;15.748194;17.225405;16.645905;13.21428;8.1148796;9.8870134;3;3;0.84211391;15;0;-0.81484222;-0.39001176;0.075144276;2.9259884;-1.3343045;-0.35153347;0.13903178;2.9088197;-0.53086179;-0.21605732;0.18466157;3.175699;29.554419;14.235294;9.3566246;25.377325;12.166085;7.9694457;8.8212194;9;4;1;1;2.385;-4.1195402;13.560583;1;1;17;0;3;11;3;0;0;2.0661926;-2.0661926;0.18562526;0.16991898;62.022102;58.616047;60.375015;38.975513;0;4.1846013;19.199511;142.27646;0;17.742489;0;64.832939;2.503756;2.503756;0.80300462;0.48572224;0.14758179;0.19699541;0.51427776;0.049413614;380.00763;229.85939;69.840454;93.224564;243.37279;23.384111;0.46666667;0.875;0;0;0;0;1;0;0;0;1;0;473.23218;0;0;0;473.23218;0;8;0;3;0;0;0.51428574;2.40277;76.293167;57.006886;45.559784;78.731674;7.5963712;20.41914;0;158.78867;18.868406;93.270996;13.32327;94.033684;26.903788;23.972281;20.104841;2.7567475;229.42265;86.048309;73.29277;131.19;0.32906306;6.2094536;3.6640811;10.009933;473.23218;558.54199;48.0872;0;0;23.425066;356.34412;31.808876;85.079185;505.63599;3813;50;176
Azidothymidine;0.28999999;3;O1C(CO)C(N=[N+]=[N-])CC1N1C=C(C)C(=O)NC1=O;34.976311;0;0;1;3;6;0;0;0;32;2;8;19;7;59.065361;1.8457925;0;0;10;0;0;13;0;5;4;0;0;1.9870836;-2.5185137;-0.58018416;0.59481478;2.7479548;-2.6658931;-0.49892703;0.58635789;2.6514287;-2.2995613;-0.40248716;0.71508211;2.9651082;21.343691;3;0.15000001;0;33;5;20;2;3;0.15000001;28;0;13.991199;10.184427;6.2236147;6.585422;9.0620804;5.6908374;2.5967534;2.8770101;3;3;0.94275385;10;0;-0.80325985;-0.44952691;0.098424405;2.5656755;-1.1699553;-0.36497653;0.082020089;2.5146668;-0.52295119;-0.2217512;0.17828116;2.7927387;15.39;6.6352043;3.3659606;11.28492;4.7740407;2.3860979;2.8355088;9;2;1;0;-2.075;-0.66157001;6.2991672;1;1;12;1;2;4;1;0;0;1.5591198;-1.5591198;0.22736776;0.214917;42.567951;38.31654;6.6995511;8.458519;35.008007;12.949531;17.440542;21.480953;9.4210396;0;5.6825762;27.133842;13.566921;2.503756;0.54979599;0.33075976;0.17910114;0.45020404;0.66924024;0.27110291;132.62714;79.789085;43.204517;108.6026;161.44064;65.398079;0.5;1;0;0;0;0;1;0;0;0;1;0;241.22974;0;0;0;241.22974;0;5;0;2;0;0;1;0.2282;43.395977;13.213054;51.352543;20.926258;0;19.848583;0;64.079063;18.868406;57.188232;6.2432499;58.724319;45.172546;64.875458;19.676014;0;36.082764;31.014997;33.326015;103.59;0.5023343;5.321928;3.0486372;8.2065697;241.22974;269.573;60.539589;0;0;5.6825762;104.94154;56.499107;79.789085;267.245;701;29;96
Betamethasone ;0.41;2;FC12C(C3CC(C)C(O)(C(=O)CO)C3(CC1O)C)CCC1=CC(=O)C=CC12C;62.623997;0;0;2;3;5;0;0;0;57;3;8;28;21;81.876144;1.4364237;0;0;22;0;1;29;0;0;5;0;0;1.7703513;-2.8985395;-0.51543838;0.55147099;3.0000653;-2.9231687;-0.46517548;0.5065102;2.9975088;-2.671762;-0.38282046;0.67362058;3.226186;34.822002;2;0.064516127;0;60;4;31;4;2;0.064516127;56;0;20.698307;16.613087;14.076985;14.698306;12.963233;10.142335;8.7470713;9.5240755;8;8;0.85443532;12;0;-0.79044366;-0.41025048;0.032483771;3.3745499;-0.9486618;-0.34128129;0.00077885773;3.3969519;-0.53789598;-0.22400635;0.15361278;3.59056;21.240376;6.4976859;2.3951247;18.608292;5.6632929;2.0799332;3.7637215;5;3;1;0;2.151;-3.1791301;10.095338;0;1;20;1;4;2;0;0;0;1.5166826;-1.5166826;0.16378292;0.19168906;189.70193;0;0;16.917038;30.516994;0;0;18.017035;0;0;0;52.609398;27.133842;0;0.67076302;0.29191214;0.23811327;0.32923698;0.70808786;0.09112373;224.636;97.760277;79.74324;110.26023;237.13597;30.516994;0.5;1;0;0;0;0;1;0;0;0;1;0;334.89624;0;0;0;334.89624;0;6;1;4;0;0;0.32142857;1.8957;76.155678;11.375222;54.193081;20.926258;13.232388;3.185575;0;52.929554;75.473625;114.93816;9.9944401;47.724434;91.115791;13.232388;9.6542244;0;128.40317;32.301479;99.978043;94.830002;0.39893496;5.9541965;3.152231;9.3609161;334.89624;425.117;27.133842;0;0;0;250.14459;16.917038;67.834602;392.46698;1670;70;168
Biotine ;0.34999999;3;S1CC2NC(=O)NC2C1CCCCC(=O)[O-];35.107895;1;0;0;1;1;2;0;0;31;2;3;16;9;55.00256;1.774276;0;0;10;0;0;15;0;2;3;0;1;1.6681775;-2.6612794;-0.59289902;0.49215984;2.7986581;-2.7456856;-0.52084172;0.60496813;2.7734818;-2.4070051;-0.41216913;0.5645529;3.0906816;22.872105;5;0.29411766;0;32;2;17;5;5;0.29411766;30;0;11.543606;9.7170744;6.2675848;6.4222851;7.6647038;6.5995717;3.3367167;3.3914115;3;3;0.92868292;10;-1;-0.85154134;-0.45501834;0.082828276;2.6087685;-1.489729;-0.38455367;0.10946272;2.6143737;-0.52720201;-0.23245332;0.15712257;2.8748529;12.456747;5.5576558;3.25;11.413912;5.0608687;2.9457302;3.6102693;5;2;1;0;0.44;-1.63741;6.1259642;0;1;9;1;2;5;0;0;0;0.91152912;-1.9115291;0.39509159;0.28729132;63.233978;36.677658;13.399102;0;0;0;17.440542;0;0;19.760618;0;24.932074;0;27.133842;0.65689009;0.35456267;0.25701687;0.34310991;0.6454373;0.086093053;133.07135;71.82653;52.065914;69.506454;130.75128;17.440542;0.5;1;0;0;0;0;1;0;0;0;1;0;202.57782;0;0;0;202.57782;0;5;0;2;0;0;1;-0.53789997;78.704842;6.2939644;34.602108;17.233564;0;0;0;0;75.473625;56.081757;5.8965402;90.407776;0;36.0215;10.739892;0;75.473625;23.527529;32.21954;81.260002;0.56510133;5.0874629;3.1278281;7.6465812;202.57782;245.71034;40.700764;27.133842;0;11.365152;118.36285;32.14904;52.065914;243.30699;500;18;80
